player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_snap,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_snap,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_snap,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_snap,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Hayden Wolff,98362,QB,W MICHIGAN,13,349,70.9,103,107,11.1,2.76,2,5,4.5,64.5,69,42,5.5,115,33.0,4,42,,,,,54.9,69.0,79.1,,69.1,54.3,,57.0,,,0,4,120,16.7,113.5,6.1,7,1,0,2,12,6,5.0,922,8.6,0,347,58.0,70.5,71.5,49.0,79.3,188,209,7.1,2.9,4,5,2.3,67.5,141,60,5.4,234,67.0,8,77,,,,,64.7,70.1,82.4,,70.6,54.3,,54.8,,,0,4,243,25.0,89.8,6.4,15,10,0,17,6,5,2.1,1499,7.2,79.6,230,242,7.7,2.6,6,6,2.4,71.5,173,0,5.5,247,70.8,10,89,,,,,75.7,77.3,82.7,,77.5,46.3,,51.9,,,0,5,256,,106.0,0.0,0,5,0,6,15,6,2.3,1877,7.8,4,63.9,61,74,11.6,3.47,0,4,5.1,50.0,37,102,5.1,102,29.2,2,30,,,,,33.9,54.3,78.6,,54.3,,,57.9,,,0,3,107,21.6,71.0,21.6,22,6,0,13,3,5,4.7,544,7.4
Keyone Jenkins,170403,QB,FIU,12,348,67.9,112,117,11.6,2.56,0,8,6.3,58.1,68,43,10.5,130,37.4,8,45,,,,,29.0,67.6,79.9,,67.2,,,58.7,,,1,2,143,25.6,115.9,8.5,11,2,0,4,13,6,4.2,997,8.5,0,166,26.4,69.5,72.1,52.1,75.4,175,187,10.0,2.71,2,11,5.5,64.2,120,67,9.1,218,62.6,12,75,,,,,39.8,69.3,58.4,,73.0,,,48.7,,,3,6,232,9.0,93.1,2.8,6,22,0,7,9,9,3.9,1563,8.4,77.7,224,227,10.7,2.3,2,17,7.1,68.7,156,0,10.3,238,68.4,18,98,,,,,63.0,84.9,82.5,,85.2,,,48.5,,,0,6,252,,115.3,0.4,1,8,0,1,18,5,2.0,2210,9.7,1,54.0,63,77,10.3,3.4,0,2,2.3,41.6,32,110,5.9,110,31.6,2,22,,,,,19.6,37.4,40.4,,38.6,,,53.5,,,4,2,123,14.5,62.1,14.5,16,16,0,10,4,10,8.1,350,4.5
Walker Eget,146170,QB,S JOSE ST,11,346,61.3,80,90,11.1,2.39,4,4,4.0,50.0,45,28,8.2,94,27.2,4,22,,,,,72.0,69.9,78.5,,67.8,54.3,,71.8,,,3,2,104,7.1,64.2,2.1,2,2,0,3,2,1,1.0,481,5.3,0,285,65.3,84.7,81.8,70.3,67.4,224,241,12.9,2.5,5,14,5.4,58.9,142,51,6.0,252,72.8,9,89,,,,,75.9,86.7,82.9,,84.4,,,67.6,,,1,8,270,3.9,87.4,0.8,2,9,2,9,11,7,2.6,2013,8.4,69.3,251,261,11.5,2.24,7,12,4.3,62.5,163,0,6.3,267,77.2,11,89,,,,,76.1,86.6,83.2,,84.8,54.3,,64.4,,,1,6,283,,92.0,0.0,0,6,2,0,12,6,2.1,2014,7.7,2,49.1,53,70,16.6,3.25,2,6,7.3,34.3,24,79,7.7,79,22.8,2,22,,,,,71.5,69.1,77.9,,65.3,,,74.3,,,3,4,91,5.1,40.2,5.1,4,5,0,12,1,2,2.2,480,6.9
Jack Lausch,162845,QB,NWESTERN,10,344,58.6,99,110,9.1,2.8,1,5,4.2,45.5,50,59,13.8,126,36.6,8,29,,,,,73.0,60.1,79.7,,60.5,54.3,,57.5,,,2,3,136,15.3,64.1,7.1,9,7,0,8,4,4,2.9,617,5.6,0,256,45.9,54.7,52.7,62.1,68.4,171,186,9.2,3.13,1,5,2.6,58.6,109,70,6.8,218,63.4,8,53,,,,,41.7,48.7,82.0,,48.8,59.3,,57.2,,,4,5,224,18.6,69.6,6.0,13,18,0,10,3,10,4.5,1094,5.9,66.8,205,207,8.6,2.59,1,6,2.8,61.4,127,0,7.3,215,62.5,10,60,,,,,63.9,56.5,82.0,,54.0,53.8,,76.8,,,0,6,221,,75.6,0.0,0,7,0,1,5,9,4.1,1312,6.3,2,58.5,65,89,11.0,3.72,1,4,4.1,36.0,32,129,15.8,129,37.5,6,22,,,,,41.7,48.6,79.7,,53.0,,,46.9,,,6,2,139,17.1,48.9,17.1,22,18,0,17,2,5,3.6,399,4.5
Will Rogers,124184,QB,WASHINGTON,11,342,73.3,120,134,8.6,2.41,5,7,5.0,63.4,85,54,3.4,149,43.6,3,54,,,,,44.0,64.8,49.5,,65.0,,,59.4,,,1,3,154,20.4,100.5,7.4,11,3,0,8,9,6,3.9,1044,7.8,0,340,30.1,64.0,67.2,31.0,80.2,172,181,7.8,2.52,4,6,3.2,74.6,135,50,2.2,193,56.4,3,66,,,,,74.5,67.0,81.4,,67.3,60.0,,54.9,,,0,4,197,10.0,96.8,2.6,5,7,1,4,5,8,4.1,1414,7.8,81.8,225,234,7.3,2.16,7,8,3.3,76.5,179,0,2.7,238,69.6,5,100,,,,,75.4,82.5,82.4,,80.8,,,62.8,,,0,4,243,,110.6,0.4,1,2,1,1,12,7,2.9,1955,8.4,4,62.7,67,81,11.0,3.18,2,5,5.9,50.6,41,104,2.4,104,30.4,1,20,,,,,33.9,34.1,38.6,,35.9,60.0,,53.3,,,1,3,108,14.4,62.9,14.4,15,8,0,11,2,7,6.5,503,6.2
Tyler Huff,142567,QB,JVILLE ST,14,341,60.6,99,106,12.9,2.44,5,7,6.4,50.9,54,46,10.0,125,36.7,6,41,,,,,40.0,74.1,79.4,,70.6,,,74.5,,,0,2,129,26.1,89.6,9.6,12,7,0,2,6,5,3.9,867,8.2,1,196,55.6,88.7,75.9,85.4,72.1,179,188,9.2,2.54,0,5,2.4,65.4,123,54,4.7,216,63.3,6,72,,,,,57.4,74.0,59.5,,75.9,,,54.6,,,1,5,243,16.7,96.3,4.2,9,18,2,6,8,7,2.9,1652,8.8,73.5,223,232,9.7,2.12,4,8,3.2,66.8,155,0,5.5,241,70.7,9,96,,,,,65.6,87.8,61.1,,86.0,,,66.8,,,0,6,261,,99.6,0.0,0,8,2,3,9,7,2.7,2207,9.5,4,45.5,55,62,14.1,3.42,1,4,5.7,35.5,22,100,12.0,100,29.3,3,17,,,,,27.8,47.0,78.8,,45.9,,,57.8,,,1,1,111,21.0,72.8,21.0,21,17,0,5,5,5,4.5,312,5.0
Darian Mensah,169984,QB,TULANE,13,337,75.5,106,113,11.9,3.15,0,9,7.3,66.4,75,56,6.3,136,40.4,5,60,,,,,32.9,79.7,80.0,,77.1,,,69.3,,,2,2,148,16.1,131.8,6.6,9,14,0,5,15,5,3.4,1145,10.1,0,319,33.8,82.1,81.4,62.7,75.9,166,174,10.9,3.29,2,8,4.4,65.5,114,52,9.5,201,59.6,12,71,,,,,48.6,75.6,81.8,,79.5,49.3,,46.5,,,1,4,208,17.3,98.3,4.5,9,18,0,5,7,11,5.3,1577,9.1,75.8,211,214,11.4,2.87,2,14,6.2,68.7,147,0,8.1,229,68.0,13,95,,,,,51.9,85.1,82.4,,84.3,50.8,,62.1,,,0,3,241,,117.2,0.4,1,14,0,1,16,11,4.6,1991,9.3,2,75.4,61,73,11.1,4.02,0,3,3.8,57.5,42,108,8.7,108,32.0,4,36,,,,,28.1,63.3,79.0,,66.8,57.5,,53.0,,,3,3,115,15.7,102.0,15.7,17,18,0,9,6,5,4.3,731,10.0
Hajj-Malik Williams,102348,QB,UNLV,12,336,68.0,75,78,10.9,2.52,1,3,3.8,61.5,48,34,5.9,99,29.5,3,40,,,,,71.9,70.4,78.4,,68.4,,,66.3,,,0,2,101,35.3,117.0,12.1,12,9,0,2,9,4,4.0,671,8.6,0,325,39.3,76.7,67.3,78.3,65.1,172,176,11.3,3.07,1,12,6.3,58.0,102,68,8.9,237,70.5,10,78,,,,16.8,44.5,68.0,82.6,,65.3,29.7,,69.1,,,0,3,251,22.1,92.3,6.3,15,46,1,2,10,9,3.6,1270,7.2,68.7,214,216,10.2,2.36,1,14,6.2,63.9,138,0,6.1,234,69.6,9,94,,,,16.8,54.1,82.7,82.4,,82.2,29.7,,64.8,,,0,2,244,,114.4,0.0,0,18,1,0,18,8,3.3,1821,8.4,2,48.5,33,38,17.5,4.18,1,1,2.3,31.6,12,102,25.0,102,30.4,4,24,,,,,53.7,40.7,78.7,,27.9,56.0,,70.0,,,0,3,108,26.5,17.4,26.5,27,37,0,4,1,5,4.6,120,3.2
Jalon Daniels,122555,QB,KANSAS,12,334,62.6,115,128,12.3,3.02,1,11,8.2,51.6,66,54,8.3,137,41.0,6,44,,,,,73.1,64.9,80.0,,63.6,,,64.8,,,5,4,143,7.4,79.0,2.9,4,5,0,7,6,6,4.2,962,7.5,0,198,58.7,77.6,72.6,73.6,68.3,164,173,12.5,3.11,3,11,6.2,60.7,105,35,6.3,197,59.0,7,73,,,,,42.7,77.7,81.6,,76.8,,,63.5,,,1,8,206,14.3,84.7,2.5,5,17,0,5,8,9,4.4,1492,8.6,68.3,227,231,12.3,2.64,4,15,6.3,63.2,146,0,5.8,245,73.4,9,100,,,,,65.2,80.6,82.6,,80.4,,,56.5,,,0,9,253,,94.1,0.0,0,12,0,0,12,11,4.3,2122,9.2,4,55.8,52,70,12.8,4.26,0,7,9.6,35.7,25,89,13.8,89,26.6,4,17,,,,,36.6,53.7,78.2,,47.6,,,71.1,,,6,3,96,10.1,43.3,10.1,9,10,0,12,2,4,4.2,332,4.7
Bryce Archie,156667,QB,USF,12,333,67.6,71,81,10.5,2.7,3,3,3.6,54.3,44,47,8.3,99,29.7,4,28,,,,,52.2,61.5,78.5,,62.6,53.1,,52.9,,,6,6,102,34.0,63.1,16.2,16,2,0,1,4,5,4.9,587,7.2,0,327,50.6,62.4,60.1,63.6,70.4,203,213,8.8,2.91,3,8,3.5,60.1,128,62,10.5,234,70.3,15,62,,,,,55.0,56.3,82.6,,58.8,54.3,,47.7,,,1,4,252,8.1,78.2,2.1,5,15,3,3,5,9,3.6,1331,6.2,73.9,211,217,8.7,2.48,3,9,3.9,64.5,140,0,10.3,224,67.3,16,69,,,,,75.3,71.2,82.3,,71.3,47.7,,55.9,,,0,6,236,,85.0,0.0,0,6,3,0,7,8,3.4,1560,7.2,1,55.6,63,77,11.0,3.6,3,2,2.4,41.6,32,109,8.6,109,32.7,3,21,,,,,26.9,34.9,79.1,,38.4,,,45.2,,,7,4,118,19.3,43.1,19.3,21,11,0,4,2,6,5.1,358,4.6
Hunter Watson,183993,QB,SM HOUSTON,12,333,63.4,101,108,8.8,2.41,1,4,3.5,59.3,64,45,0.0,126,37.8,0,41,,,,,72.9,65.9,79.6,,66.2,,,56.5,,,2,4,132,26.7,87.3,9.5,12,6,0,4,8,5,3.8,689,6.4,0,281,62.6,69.1,61.7,71.2,69.9,163,175,7.9,2.7,2,4,2.2,63.4,111,51,2.6,207,62.2,3,59,,,,,63.3,59.4,81.8,,58.0,54.3,,63.5,,,0,4,217,27.5,79.7,6.8,14,18,1,9,4,8,3.7,1119,6.4,72.3,220,227,7.6,2.22,3,8,3.4,68.7,156,0,1.9,237,71.2,3,86,,,,,75.5,78.1,82.5,,74.9,54.3,,75.6,,,0,5,247,,96.4,0.0,0,10,1,3,11,8,3.2,1641,7.2,3,43.2,44,56,11.7,3.51,0,0,0.0,33.9,19,96,0.0,96,28.8,0,14,,,,,52.0,29.4,78.4,,29.8,,,49.3,,,2,3,102,27.1,26.5,27.1,26,14,0,10,1,5,4.9,167,3.0
Ashton Daniels,157259,QB,STANFORD,11,332,76.2,84,90,9.2,2.73,0,1,1.0,65.6,59,42,7.8,106,31.9,5,37,,,,,36.0,72.3,78.8,,72.0,,,60.1,,,0,3,113,21.4,91.0,8.5,9,7,0,6,5,4,3.5,640,7.1,0,300,46.6,71.7,65.5,71.2,71.6,162,182,9.3,3.35,2,8,4.1,61.0,111,90,4.3,226,68.1,5,64,,,,,64.7,59.0,82.4,,60.3,60.0,,55.6,,,0,9,244,12.2,65.7,4.9,11,33,1,17,5,12,4.9,1060,5.8,76.1,184,188,8.2,2.52,2,5,2.5,69.1,130,0,7.1,200,60.2,10,69,,,,,74.8,73.7,81.7,,73.8,,,57.7,,,0,6,213,,85.6,0.0,0,12,1,1,7,7,3.3,1209,6.4,0,64.5,62,84,12.3,4.1,0,4,4.3,47.6,40,132,0.0,132,39.8,0,32,,,,,29.1,49.9,79.9,,49.8,60.0,,56.4,,,0,6,144,15.2,48.3,15.2,20,28,0,22,3,9,6.3,491,5.8
Ben Wooldridge,82115,QB,LA LAFAYET,11,332,71.7,106,113,9.1,2.48,4,0,0.0,57.5,65,36,14.5,130,39.2,11,53,,,,,57.4,69.7,79.7,,68.3,,,64.5,,,0,5,137,19.4,81.1,5.4,7,10,0,3,7,4,2.9,782,6.9,0,207,65.6,83.8,81.2,69.9,79.5,171,181,8.5,2.65,0,10,5.2,69.1,125,54,8.1,202,60.8,11,70,,,,,63.2,83.1,81.8,,85.5,57.2,,50.8,,,1,1,215,9.3,114.2,2.5,5,16,2,7,10,3,1.4,1669,9.2,78.9,223,229,8.4,2.3,2,6,2.5,67.7,155,0,11.9,242,72.9,21,93,,,,,65.3,78.7,82.6,,81.4,,,42.5,,,0,5,254,,103.6,0.0,0,13,2,2,13,6,2.4,1942,8.5,5,66.7,54,65,10.0,3.36,2,4,5.5,53.8,35,90,2.8,90,27.1,1,30,,,,,52.0,75.8,78.3,,72.1,57.2,,71.2,,,1,1,98,13.3,93.7,13.3,12,13,0,8,4,1,1.0,509,7.8
Jackson Arnold,173684,QB,OKLAHOMA,10,327,62.7,75,84,8.1,2.72,3,1,1.1,53.6,45,55,4.3,114,34.9,2,34,,,,70.7,51.1,52.1,79.2,,50.2,79.3,,57.8,,,1,2,118,25.5,85.2,12.3,14,15,0,5,6,2,1.7,495,5.9,0,261,34.6,63.2,57.7,65.6,77.3,154,162,7.6,3.03,1,6,3.5,67.3,109,77,8.4,213,65.1,10,50,,,,,42.4,60.0,82.0,,62.8,60.0,,51.9,,,0,1,223,28.6,91.5,10.3,22,28,0,7,6,6,2.7,915,5.6,75.0,180,184,6.9,2.39,2,4,2.1,67.9,125,0,7.4,195,59.6,10,62,,,,70.7,74.7,73.2,81.5,,72.9,79.3,,55.7,,,0,1,200,,94.3,0.0,0,10,0,2,8,3,1.5,1031,5.6,1,63.3,49,62,10.9,3.7,2,3,4.3,46.8,29,132,6.5,132,40.4,2,22,,,,,24.1,33.9,79.9,,31.7,60.0,,53.3,,,1,2,141,27.3,74.6,27.3,36,33,0,10,4,5,3.5,379,6.1
Kaidon Salter,132046,QB,LIBERTY,11,314,62.2,90,100,12.4,3.05,5,7,6.3,52.0,52,51,7.1,131,41.7,4,38,,,,,39.0,62.0,45.4,,52.0,,,91.6,,,1,2,143,31.4,82.1,12.2,16,14,0,4,6,10,7.0,601,6.0,0,206,38.1,82.0,75.7,76.4,69.0,158,162,11.5,2.95,1,12,7.1,58.0,94,44,13.8,183,58.3,15,62,,,,,74.4,90.0,81.3,,89.9,,,61.9,,,0,4,194,9.1,91.4,2.2,4,17,0,3,9,4,2.1,1274,7.9,73.0,204,207,9.5,2.38,3,14,6.4,63.8,132,0,11.4,219,69.7,17,79,,,,,61.8,87.5,58.4,,87.4,,,58.2,,,0,2,232,,106.3,0.5,1,10,0,0,14,6,2.6,1619,7.8,3,36.4,44,55,22.6,4.42,3,5,7.9,25.5,14,95,12.5,95,30.3,2,21,,,,,53.0,60.0,78.5,,42.9,,,86.9,,,1,4,105,20.0,22.2,20.0,19,21,0,7,1,8,7.6,256,4.7
Michael Van Buren Jr.,184764,QB,MISS STATE,9,311,57.4,68,80,12.9,2.59,4,6,6.8,43.8,35,40,10.3,98,31.5,4,26,,,,,53.2,69.4,78.6,,68.7,,,62.0,,,3,0,107,20.0,80.0,8.2,8,10,0,5,4,1,0.9,476,6.0,0,227,45.9,65.9,67.1,55.4,69.3,163,176,10.8,2.81,7,8,4.3,59.7,105,73,7.1,213,68.5,8,65,,,,,52.7,63.4,82.0,,64.7,,,53.7,,,3,7,227,24.7,81.8,8.5,18,18,0,3,7,10,4.4,1409,8.0,68.5,178,186,10.6,2.38,6,9,4.6,61.3,114,0,6.6,198,63.7,8,67,,,,,74.8,78.2,81.6,,76.6,,,65.0,,,0,5,209,,94.3,0.0,0,12,0,2,11,5,2.4,1456,7.8,6,56.6,53,70,14.0,3.38,5,5,6.4,37.1,26,113,13.3,113,36.3,4,24,,,,,27.2,44.1,79.3,,46.2,,,50.8,,,6,2,125,23.0,46.7,23.0,26,16,0,6,0,6,4.8,429,6.1
Braedyn Locke,157141,QB,WISCONSIN,10,311,67.7,99,116,8.6,2.22,8,5,3.9,51.7,60,29,10.4,119,38.3,7,32,,,,,56.0,63.1,79.5,,62.6,,,,,,2,1,130,10.3,86.5,2.5,3,0,0,7,7,3,2.3,689,5.9,1,349,53.0,61.1,58.6,67.0,69.6,168,180,8.8,2.77,6,5,2.7,57.8,104,38,11.1,192,61.7,13,50,,,,,50.4,56.0,81.4,,56.0,,,57.7,,,3,9,201,18.4,69.4,3.6,7,5,0,3,6,15,7.5,1247,6.9,72.8,228,241,8.4,2.39,11,8,3.2,61.4,148,0,10.8,244,78.5,18,74,,,,,75.6,73.7,82.6,,72.0,,,66.7,,,0,5,255,,88.6,0.0,0,3,0,2,10,11,4.3,1746,7.2,2,46.2,39,55,10.8,3.15,3,2,3.2,29.1,16,67,11.1,67,21.5,2,8,,,,,21.9,27.4,77.2,,27.9,,,50.2,,,5,5,76,14.9,21.8,14.9,10,2,0,8,3,7,9.2,190,3.5
Christian Veilleux,145086,QB,GA STATE,10,310,71.9,64,71,11.4,2.32,3,6,8.1,60.6,43,34,6.5,78,25.2,3,30,,,,,71.2,74.1,77.5,,73.1,,,62.1,,,2,3,82,14.7,100.0,6.4,5,2,0,2,7,2,2.4,549,7.7,0,175,62.1,63.6,60.4,69.4,69.4,206,222,9.1,2.38,9,5,2.1,56.3,125,54,12.6,232,74.8,18,71,,,,,65.0,56.6,82.5,,54.8,,,72.0,,,0,8,248,9.3,71.4,2.2,5,5,0,7,6,13,5.2,1513,6.8,72.2,209,219,8.5,2.13,9,7,3.1,62.6,137,0,9.3,222,71.6,14,74,,,,,75.2,65.6,82.1,,64.2,,,67.5,,,0,4,231,,89.4,0.0,0,3,0,1,8,8,3.5,1609,7.3,1,62.3,61,74,13.3,2.95,3,4,4.8,41.9,31,88,18.4,88,28.4,7,27,,,,,51.7,55.1,78.3,,53.0,,,68.7,,,2,7,99,11.4,45.6,11.4,10,4,0,8,5,7,7.1,453,6.1
Marcel Reed,175940,QB,TEXAS A&M,10,299,62.5,88,97,9.8,2.93,2,3,2.9,51.5,50,51,9.1,117,39.1,5,35,,,,,72.7,65.4,42.7,,63.6,,,66.9,,,2,2,123,9.8,76.7,4.3,5,15,0,5,4,1,0.8,617,6.4,1,312,53.6,68.3,64.6,67.1,71.1,142,146,10.4,3.23,1,5,3.3,66.4,97,45,4.0,182,60.9,4,68,,,,,35.7,63.8,81.1,,64.3,,,58.4,,,1,4,187,17.8,106.8,4.4,8,28,1,1,11,9,4.8,1250,8.6,74.2,178,184,9.5,2.8,3,6,3.1,67.4,124,0,6.1,203,67.9,8,82,,,,,63.0,78.8,81.7,,80.3,,,54.0,,,1,4,211,,109.1,0.0,0,19,1,1,13,5,2.4,1607,8.7,5,46.2,52,59,12.6,3.79,0,2,3.2,39.0,23,96,4.2,96,32.1,1,21,,,,,31.5,37.6,35.1,,29.4,,,68.5,,,2,2,99,13.5,50.1,13.5,13,24,0,5,2,5,5.1,260,4.4
Ethan Vasko,163817,QB,COAST CAR,12,292,69.9,83,84,9.2,2.29,0,6,6.7,59.5,50,27,13.8,88,30.1,8,39,,,,,71.7,90.7,78.2,,89.4,54.3,,74.6,,,0,2,94,0.0,118.9,0.0,0,4,0,1,10,1,1.1,758,9.0,0,141,78.1,84.2,78.2,76.3,62.9,175,188,11.5,2.69,3,13,6.5,52.1,98,64,10.9,204,69.9,12,59,,,,,74.9,69.5,81.9,,68.8,60.0,,61.2,,,1,6,220,9.4,69.3,2.9,6,9,1,8,4,10,4.5,1355,7.2,68.9,190,195,10.0,2.25,1,14,6.7,60.0,117,0,10.7,201,68.8,14,71,,,,,74.9,84.5,81.8,,83.4,54.3,,60.4,,,0,3,215,,98.7,0.0,0,5,1,3,11,6,2.8,1600,8.2,3,54.4,68,77,12.8,3.29,2,5,6.1,40.3,31,91,16.2,91,31.2,6,27,,,,,71.8,64.8,78.3,,61.3,60.0,,69.8,,,1,5,99,6.6,49.3,6.6,6,8,0,6,3,5,5.1,513,6.7
Ethan Hampton,145858,QB,N ILLINOIS,11,291,66.7,66,76,8.9,2.62,2,1,1.2,52.6,40,34,9.1,92,31.6,4,29,,,,,51.1,62.2,78.4,,62.0,51.9,,62.0,,,0,2,98,26.5,89.1,9.8,9,7,1,7,5,2,2.0,588,7.7,0,254,52.9,70.3,65.0,74.0,72.9,155,173,7.9,2.58,6,4,2.2,60.1,104,59,8.0,199,68.4,9,59,,,,,50.8,68.1,81.6,,65.7,,,66.9,,,2,4,207,10.2,80.4,3.0,6,20,0,10,7,10,4.8,1013,5.9,76.6,175,185,7.3,2.26,6,3,1.5,66.5,123,0,8.2,198,68.0,11,73,,,,,74.7,81.4,81.7,,77.2,51.9,,79.8,,,0,3,208,,94.6,0.0,0,13,1,3,9,6,2.9,1226,6.6,2,50.0,46,64,11.5,3.31,2,2,2.9,32.8,21,93,8.7,93,32.0,2,15,,,,,24.4,35.6,78.2,,36.6,,,51.3,,,2,3,97,16.1,49.9,16.1,15,14,0,14,3,6,6.2,375,5.9
Davis Bryson,160369,QB,KENNESAW,11,291,52.7,74,78,8.3,2.32,1,1,1.2,48.7,38,35,2.6,91,31.3,1,21,,,,,71.7,44.6,78.1,,42.7,,,66.1,,,2,5,95,25.7,62.7,9.9,9,4,0,1,5,4,4.2,475,6.1,0,200,59.0,57.4,51.7,65.7,67.8,171,184,6.9,2.4,2,3,1.6,57.6,106,46,8.6,200,68.7,10,47,,,,,74.7,56.8,81.6,,58.3,56.7,,48.6,,,0,5,208,13.0,63.7,3.0,6,7,0,11,1,6,2.9,1020,5.5,66.8,196,200,6.4,2.13,2,3,1.5,61.0,122,0,6.9,210,72.2,9,53,,,,,74.9,52.2,81.7,,52.3,,,57.5,,,0,6,214,,70.8,0.5,1,6,0,2,3,7,3.3,1217,6.1,4,49.0,49,62,11.0,3.01,1,1,1.4,35.5,22,81,8.3,81,27.8,2,15,,,,,71.5,53.0,77.9,,53.8,56.7,,55.6,,,2,4,89,17.3,39.6,17.3,14,5,0,10,3,3,3.4,278,4.5
Taisun Phommachanh,99577,QB,UMASS,9,288,74.0,50,58,7.6,2.65,3,2,3.2,56.9,33,23,10.8,75,26.0,4,23,,,,,55.4,70.4,77.5,,67.3,,,68.5,,,0,0,82,39.1,86.6,12.0,9,8,0,5,2,1,1.2,356,6.1,0,216,46.5,62.7,62.7,59.4,65.9,164,177,10.6,2.9,4,6,3.1,55.9,99,73,8.3,213,74.0,9,55,,,,,64.2,58.0,82.1,,60.2,,,51.0,,,3,6,228,17.8,75.1,6.1,13,22,0,6,6,8,3.5,1243,7.0,71.0,176,183,9.5,2.28,7,7,3.6,63.4,116,0,7.2,192,66.7,9,65,,,,,74.6,72.2,81.5,,72.9,,,52.8,,,0,5,202,,85.5,0.0,0,8,0,0,6,6,3.0,1363,7.4,4,52.6,38,52,11.8,3.93,0,1,1.6,30.8,16,96,20.0,96,33.3,4,13,,,,,40.6,43.3,78.7,,39.4,,,59.8,,,3,1,108,22.9,51.4,22.9,22,22,0,11,2,3,2.8,236,4.5
